,text,label
0,Claim a free smartphone! now and enjoy exclusive benefits. Code: 8328,0
1,Hey! Are you up for meeting online? Let me know!,0
2,Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 7701,1
3,Everyone thinks you're pathetic. Just stop!,0
4,Win a free beauty product! this instant and enjoy exclusive benefits. Code: 9824,0
5,Important notice: Your prize claim requires urgent attention. Act immediately to avoid issues. Ref: 895,1
6,You've always been the worst. Just stop!,0
7,Get your hands on a free fitness tracker! now and enjoy exclusive benefits. Code: 2305,0
8,Hey! Are you up for game night at home? Let me know!,0
9,Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 7100,1
10,You've always been pathetic. Just stop!,0
11,Claim a free fitness tracker! today and enjoy exclusive benefits. Code: 4297,0
12,Hey! Are you up for movie night at the park? Let me know!,0
13,Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 9382,1
14,It's obvious you're pathetic. Just stop!,0
15,Secure a free vacation! today and enjoy exclusive benefits. Code: 1697,0
16,Hey! Are you up for movie night downtown? Let me know!,0
17,Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 3650,1
18,It's obvious you're a disappointment. Just stop!,0
19,Grab a free smartphone! now and enjoy exclusive benefits. Code: 4693,0
20,Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 5992,1
21,Can't you see you're the worst. Just stop!,0
22,Secure a free beauty product! right away and enjoy exclusive benefits. Code: 5784,0
23,Hey! Are you up for dinner at home? Let me know!,0
24,Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 39,1
25,Everyone thinks you're terrible. Just stop!,0
26,Claim a free beauty product! this instant and enjoy exclusive benefits. Code: 6149,0
27,Hey! Are you up for study session at my place? Let me know!,0
28,Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 777,1
29,Can't you see you're a disappointment. Just stop!,0
30,Get your hands on a free beauty product! today and enjoy exclusive benefits. Code: 2705,0
31,Hey! Are you up for dinner at the park? Let me know!,0
32,Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5373,1
33,Win a free fitness tracker! this instant and enjoy exclusive benefits. Code: 6745,0
34,Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 1699,1
35,You've always been terrible. Just stop!,0
36,Get your hands on a free fitness tracker! right away and enjoy exclusive benefits. Code: 829,0
37,Hey! Are you up for movie night online? Let me know!,0
38,Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 4552,1
39,Secure a free vacation! right away and enjoy exclusive benefits. Code: 1490,0
40,Hey! Are you up for game night at my place? Let me know!,0
41,Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 389,1
42,You've always been horrible. Just stop!,0
43,Secure a free fitness tracker! now and enjoy exclusive benefits. Code: 2677,0
44,Hey! Are you up for movie night at home? Let me know!,0
45,Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 6928,1
46,Can't you see you're terrible. Just stop!,0
47,Claim a free beauty product! this instant and enjoy exclusive benefits. Code: 8211,0
48,Hey! Are you up for study session at home? Let me know!,0
49,Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 9984,1
50,Get your hands on a free fitness tracker! right away and enjoy exclusive benefits. Code: 9243,0
51,Important notice: Your tax refund requires urgent attention. Act without delay to avoid issues. Ref: 1113,1
52,Everyone thinks you're the worst. Just stop!,0
53,Secure a free laptop! now and enjoy exclusive benefits. Code: 3298,0
54,Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 8178,1
55,Grab a free vacation! right away and enjoy exclusive benefits. Code: 7383,0
56,Hey! Are you up for meeting at the park? Let me know!,0
57,Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 9847,1
58,Secure a free smartphone! today and enjoy exclusive benefits. Code: 8948,0
59,Important notice: Your account verification requires urgent attention. Act as soon as possible to avoid issues. Ref: 5216,1
60,It's obvious you're the worst. Just stop!,0
61,Win a free smartphone! immediately and enjoy exclusive benefits. Code: 7974,0
62,Hey! Are you up for meeting downtown? Let me know!,0
63,Important notice: Your account verification requires urgent attention. Act without delay to avoid issues. Ref: 5479,1
64,Secure a free vacation! today and enjoy exclusive benefits. Code: 1347,0
65,Important notice: Your account verification requires urgent attention. Act immediately to avoid issues. Ref: 8907,1
66,Claim a free smartphone! right away and enjoy exclusive benefits. Code: 8884,0
67,Hey! Are you up for meeting at my place? Let me know!,0
68,Important notice: Your prize claim requires urgent attention. Act as soon as possible to avoid issues. Ref: 2471,1
69,Claim a free fitness tracker! right away and enjoy exclusive benefits. Code: 9221,0
70,Important notice: Your tax refund requires urgent attention. Act immediately to avoid issues. Ref: 5488,1
71,Everyone thinks you're a disappointment. Just stop!,0
72,Get your hands on a free beauty product! now and enjoy exclusive benefits. Code: 6346,0
73,Hey! Are you up for study session downtown? Let me know!,0
74,Important notice: Your prize claim requires urgent attention. Act without delay to avoid issues. Ref: 8286,1
